fishingMethodCodeAppliedByFA	taxonID	fishingQuantityInTon	year
104	1604	NA	2003
106	1604	NA	2003
108	1604	NA	2003
199	1604	NA	2003
201	1604	NA	2003
202	1604	NA	2003
203	1604	NA	2003
204	1604	125 	2003
205	1604	148 	2003
206	1604	NA	2003
209	1604	NA	2003
211	1604	NA	2003
212	1604	76 	2003
213	1604	NA	2003
214	1604	NA	2003
219	1604	23 	2003
221	1604	NA	2003
299	1604	0 	2003
301	1604	101 	2003
302	1604	NA	2003
303	1604	NA	2003
304	1604	255 	2003
305	1604	0 	2003
306	1604	45 	2003
307	1604	7 	2003
308	1604	15 	2003
309	1604	NA	2003
310	1604	11 	2003
399	1604	NA	2003
101	1605	NA	2003
102	1605	NA	2003
103	1605	NA	2003
104	1605	NA	2003
106	1605	NA	2003
108	1605	NA	2003
199	1605	NA	2003
201	1605	NA	2003
202	1605	NA	2003
203	1605	NA	2003
204	1605	NA	2003
205	1605	NA	2003
206	1605	NA	2003
209	1605	NA	2003
211	1605	NA	2003
212	1605	NA	2003
213	1605	NA	2003
214	1605	NA	2003
219	1605	NA	2003
221	1605	NA	2003
299	1605	NA	2003
301	1605	NA	2003
302	1605	NA	2003
303	1605	NA	2003
304	1605	NA	2003
305	1605	NA	2003
306	1605	NA	2003
307	1605	NA	2003
308	1605	NA	2003
309	1605	NA	2003
310	1605	NA	2003
399	1605	NA	2003
101	1699	NA	2003
102	1699	NA	2003
103	1699	NA	2003
104	1699	NA	2003
106	1699	NA	2003
108	1699	NA	2003
199	1699	NA	2003
201	1699	NA	2003
202	1699	NA	2003
203	1699	NA	2003
204	1699	847 	2003
205	1699	654 	2003
206	1699	NA	2003
209	1699	29 	2003
211	1699	NA	2003
212	1699	1852 	2003
213	1699	NA	2003
214	1699	373 	2003
219	1699	40 	2003
221	1699	NA	2003
299	1699	8 	2003
301	1699	90 	2003
302	1699	12 	2003
303	1699	NA	2003
304	1699	1710 	2003
305	1699	2 	2003
306	1699	1504 	2003
307	1699	478 	2003
308	1699	13 	2003
309	1699	NA	2003
310	1699	20 	2003
399	1699	10 	2003
101	1701	NA	2003
102	1701	NA	2003
103	1701	NA	2003
104	1701	NA	2003
106	1701	NA	2003
108	1701	NA	2003
199	1701	NA	2003
201	1701	NA	2003
202	1701	NA	2003
203	1701	NA	2003
204	1701	25 	2003
205	1701	13 	2003
206	1701	NA	2003
209	1701	NA	2003
211	1701	NA	2003
212	1701	10 	2003
213	1701	NA	2003
214	1701	NA	2003
219	1701	NA	2003
221	1701	NA	2003
299	1701	NA	2003
301	1701	10 	2003
302	1701	NA	2003
303	1701	NA	2003
304	1701	20 	2003
305	1701	0 	2003
306	1701	NA	2003
307	1701	1 	2003
308	1701	NA	2003
309	1701	NA	2003
310	1701	NA	2003
399	1701	NA	2003
101	1702	NA	2003
102	1702	NA	2003
103	1702	NA	2003
104	1702	NA	2003
106	1702	NA	2003
108	1702	NA	2003
199	1702	NA	2003
201	1702	NA	2003
202	1702	NA	2003
203	1702	NA	2003
204	1702	171 	2003
205	1702	108 	2003
206	1702	NA	2003
209	1702	NA	2003
211	1702	NA	2003
212	1702	160 	2003
213	1702	NA	2003
214	1702	NA	2003
219	1702	13 	2003
221	1702	NA	2003
299	1702	NA	2003
301	1702	5 	2003
302	1702	NA	2003
303	1702	NA	2003
304	1702	22 	2003
305	1702	4 	2003
306	1702	NA	2003
307	1702	NA	2003
308	1702	NA	2003
309	1702	NA	2003
310	1702	NA	2003
399	1702	NA	2003
101	1703	NA	2003
102	1703	NA	2003
103	1703	NA	2003
104	1703	NA	2003
106	1703	NA	2003
108	1703	NA	2003
199	1703	NA	2003
201	1703	NA	2003
202	1703	NA	2003
203	1703	NA	2003
204	1703	104 	2003
205	1703	3 	2003
206	1703	NA	2003
209	1703	1 	2003
211	1703	NA	2003
212	1703	4 	2003
213	1703	NA	2003
214	1703	NA	2003
219	1703	NA	2003
221	1703	NA	2003
299	1703	NA	2003
301	1703	NA	2003
302	1703	NA	2003
303	1703	NA	2003
304	1703	98 	2003
305	1703	NA	2003
306	1703	3 	2003
307	1703	253 	2003
308	1703	NA	2003
309	1703	NA	2003
310	1703	NA	2003
399	1703	NA	2003
101	1705	1575 	2003
102	1705	NA	2003
103	1705	NA	2003
104	1705	NA	2003
106	1705	NA	2003
108	1705	NA	2003
199	1705	NA	2003
201	1705	NA	2003
202	1705	NA	2003
203	1705	NA	2003
204	1705	843 	2003
205	1705	187 	2003
206	1705	NA	2003
209	1705	NA	2003
211	1705	NA	2003
212	1705	153 	2003
213	1705	NA	2003
214	1705	0 	2003
219	1705	33 	2003
221	1705	NA	2003
299	1705	NA	2003
301	1705	487 	2003
302	1705	19 	2003
303	1705	NA	2003
304	1705	420 	2003
305	1705	27 	2003
306	1705	108 	2003
307	1705	179 	2003
308	1705	27 	2003
309	1705	NA	2003
310	1705	10 	2003
399	1705	NA	2003
101	1706	15 	2003
102	1706	NA	2003
103	1706	NA	2003
104	1706	NA	2003
106	1706	NA	2003
108	1706	NA	2003
199	1706	NA	2003
201	1706	NA	2003
202	1706	NA	2003
203	1706	NA	2003
204	1706	278 	2003
205	1706	301 	2003
206	1706	NA	2003
209	1706	NA	2003
211	1706	NA	2003
212	1706	145 	2003
213	1706	NA	2003
214	1706	NA	2003
219	1706	38 	2003
221	1706	NA	2003
299	1706	0 	2003
301	1706	66 	2003
302	1706	10 	2003
303	1706	NA	2003
304	1706	98 	2003
305	1706	3 	2003
306	1706	104 	2003
307	1706	63 	2003
308	1706	22 	2003
309	1706	NA	2003
310	1706	10 	2003
399	1706	NA	2003
101	1799	NA	2003
102	1799	NA	2003
103	1799	NA	2003
104	1799	NA	2003
106	1799	NA	2003
108	1799	NA	2003
199	1799	NA	2003
201	1799	NA	2003
202	1799	NA	2003
203	1799	NA	2003
204	1799	607 	2003
205	1799	172 	2003
206	1799	NA	2003
209	1799	NA	2003
211	1799	NA	2003
212	1799	39 	2003
213	1799	NA	2003
214	1799	NA	2003
219	1799	12 	2003
221	1799	NA	2003
299	1799	NA	2003
301	1799	12 	2003
302	1799	NA	2003
303	1799	NA	2003
304	1799	109 	2003
305	1799	NA	2003
306	1799	10 	2003
307	1799	NA	2003
308	1799	NA	2003
309	1799	NA	2003
310	1799	NA	2003
399	1799	NA	2003
101	1800	3322 	2003
102	1800	NA	2003
103	1800	NA	2003
104	1800	NA	2003
106	1800	NA	2003
108	1800	NA	2003
199	1800	NA	2003
201	1800	NA	2003
202	1800	NA	2003
203	1800	NA	2003
204	1800	854 	2003
205	1800	49 	2003
206	1800	NA	2003
209	1800	NA	2003
211	1800	NA	2003
212	1800	26 	2003
213	1800	NA	2003
214	1800	1 	2003
219	1800	10 	2003
221	1800	NA	2003
299	1800	NA	2003
301	1800	NA	2003
302	1800	NA	2003
303	1800	NA	2003
304	1800	10 	2003
305	1800	1 	2003
306	1800	0 	2003
307	1800	1 	2003
308	1800	NA	2003
309	1800	NA	2003
310	1800	NA	2003
399	1800	NA	2003
101	1900	NA	2003
102	1900	NA	2003
103	1900	NA	2003
104	1900	NA	2003
106	1900	NA	2003
108	1900	NA	2003
199	1900	NA	2003
201	1900	NA	2003
202	1900	NA	2003
203	1900	NA	2003
204	1900	17 	2003
205	1900	7 	2003
206	1900	NA	2003
209	1900	NA	2003
211	1900	NA	2003
212	1900	296 	2003
213	1900	NA	2003
214	1900	NA	2003
219	1900	NA	2003
221	1900	NA	2003
299	1900	NA	2003
301	1900	NA	2003
302	1900	NA	2003
303	1900	NA	2003
304	1900	7 	2003
305	1900	NA	2003
306	1900	3 	2003
307	1900	44 	2003
308	1900	NA	2003
309	1900	NA	2003
310	1900	11 	2003
399	1900	NA	2003
101	2000	100 	2003
102	2000	NA	2003
103	2000	NA	2003
104	2000	NA	2003
106	2000	NA	2003
108	2000	NA	2003
199	2000	NA	2003
201	2000	NA	2003
202	2000	NA	2003
203	2000	NA	2003
204	2000	1 	2003
205	2000	0 	2003
206	2000	NA	2003
209	2000	1 	2003
211	2000	NA	2003
212	2000	89 	2003
213	2000	NA	2003
214	2000	101 	2003
219	2000	NA	2003
221	2000	NA	2003
299	2000	NA	2003
301	2000	NA	2003
302	2000	NA	2003
303	2000	NA	2003
304	2000	0 	2003
305	2000	NA	2003
306	2000	1 	2003
307	2000	0 	2003
308	2000	NA	2003
309	2000	NA	2003
310	2000	NA	2003
399	2000	NA	2003
101	2100	45 	2003
102	2100	NA	2003
103	2100	NA	2003
104	2100	NA	2003
106	2100	NA	2003
108	2100	NA	2003
199	2100	NA	2003
201	2100	NA	2003
202	2100	NA	2003
203	2100	NA	2003
204	2100	7 	2003
205	2100	2 	2003
206	2100	NA	2003
209	2100	NA	2003
211	2100	NA	2003
212	2100	2 	2003
213	2100	NA	2003
214	2100	NA	2003
219	2100	NA	2003
221	2100	NA	2003
299	2100	NA	2003
301	2100	1 	2003
302	2100	NA	2003
303	2100	NA	2003
304	2100	1 	2003
305	2100	NA	2003
306	2100	2 	2003
307	2100	1 	2003
308	2100	NA	2003
309	2100	NA	2003
310	2100	NA	2003
399	2100	NA	2003
101	2200	1 	2003
102	2200	NA	2003
103	2200	NA	2003
104	2200	NA	2003
106	2200	NA	2003
108	2200	NA	2003
199	2200	NA	2003
201	2200	NA	2003
202	2200	NA	2003
203	2200	NA	2003
204	2200	130 	2003
205	2200	42 	2003
