WGS84Lati,WGS84Long,year,CommonName,Date,數量(隻),記錄方式
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
23.907,120.5283,2012,彰化縣 田尾鄉,2012/3/25,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/29,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/3/29,1,聽音
25.0403,121.3992,2012,新北市 新莊區,2012/3/29,1,聽音
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/31,17,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/31,16,目視
22.7388,120.6275,2012,屏東縣 高樹鄉,2012/3/31,4,聽音
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,4,聽音
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,1,目視
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,2,目視
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,4,目視
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,1,目視
23.7099,120.2834,2012,雲林縣 褒忠鄉,2012/4/8,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/4/11,3,目視
25.0403,121.3992,2012,新北市 新莊區,2012/4/11,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/4/11,1,目視
25.0403,121.3992,2012,新北市 新莊區,2012/4/11,3,聽音
25.0403,121.3992,2012,新北市 新莊區,2012/4/11,1,目視
25.0405,121.3986,2012,新北市 新莊區,2012/4/11,1,目視
25.0405,121.3986,2012,新北市 新莊區,2012/4/11,3,聽音
25.0405,121.3986,2012,新北市 新莊區,2012/4/11,3,聽音
25.168,121.4175,2012,新北市 八里區,2012/4/14,37,目視
25.168,121.4175,2012,新北市 八里區,2012/4/14,1,目視
25.168,121.4175,2012,新北市 八里區,2012/4/14,1,目視
25.1681,121.4164,2012,新北市 八里區,2012/4/14,1,目視
25.1681,121.4164,2012,新北市 八里區,2012/4/14,1,目視
25.1686,121.4164,2012,新北市 八里區,2012/4/14,4,目視
25.1686,121.4164,2012,新北市 八里區,2012/4/14,6,目視
25.1686,121.4164,2012,新北市 八里區,2012/4/14,1,目視
25.1679,121.4168,2012,新北市 八里區,2012/4/14,10,目視
25.1679,121.4168,2012,新北市 八里區,2012/4/14,3,目視
25.1679,121.4168,2012,新北市 八里區,2012/4/14,5,聽音
25.1672,121.4161,2012,新北市 八里區,2012/4/14,3,目視
25.1672,121.4161,2012,新北市 八里區,2012/4/14,6,目視
25.1672,121.4161,2012,新北市 八里區,2012/4/14,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,3,聽音
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,聽音
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,2,聽音
24.9919,121.4148,2012,新北市 樹林區,2012/4/19,1,目視
