緯度,經度,年,數量,縣市,鄉鎮,地點
25.040294,121.399177,2013,0,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2013,2,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2013,0,新北市,新莊區,十八份坑溪上游週邊
24.964499,121.447738,2013,0,新北市,土城區,土城彈藥庫
24.964499,121.447738,2013,0,新北市,土城區,土城彈藥庫
24.964499,121.447738,2013,6,新北市,土城區,土城彈藥庫
24.964499,121.447738,2013,2,新北市,土城區,土城彈藥庫
25.014733,121.557421,2013,0,台北市,大安區,富陽公園
25.014733,121.557421,2013,0,台北市,大安區,富陽公園
25.014733,121.557421,2013,0,台北市,大安區,富陽公園
25.014733,121.557421,2013,0,台北市,大安區,富陽公園
25.16793,121.416801,2013,7,新北市,八里區,挖子尾菜園
25.16793,121.416801,2013,43,新北市,八里區,挖子尾菜園
25.16793,121.416801,2013,55,新北市,八里區,挖子尾菜園
25.16793,121.416801,2013,52,新北市,八里區,挖子尾菜園
24.837799,121.310892,2013,0,桃園市,大溪區,白石山
24.94640059,121.3447769,2013,0,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2013,28,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2013,1,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2013,2,新北市,鶯歌區,尖山路 
24.98406553,121.3529945,2013,0,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2013,21,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2013,33,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2013,4,桃園市,龜山區,福源山步道
24.00305,120.476313,2013,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2013,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2013,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2013,2,彰化縣,埔鹽鄉,稻香生態農園
24.967976,121.607929,2013,0,台北市,文山區,草湳(指南路226段)
24.967976,121.607929,2013,0,台北市,文山區,草湳(指南路244段)
24.967976,121.607929,2013,0,台北市,文山區,草湳(指南路262段)
24.967976,121.607929,2013,0,台北市,文山區,草湳(指南路280段)
25.119162,121.470512,2013,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2013,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2013,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2013,0,台北市,北投區,關渡自然公園
24.95498,121.466391,2014,0,新北市,土城區,山中湖
24.95498,121.466391,2014,0,新北市,土城區,山中湖
24.95498,121.466391,2014,0,新北市,土城區,山中湖
24.95498,121.466391,2014,0,新北市,土城區,山中湖
24.02107,120.597791,2014,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2014,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2014,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2014,0,彰化縣,芬園鄉,八卦山蝴蝶園
25.040294,121.399177,2014,0,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2014,5,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2014,3,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2014,0,新北市,新莊區,十八份坑溪上游週邊
24.964499,121.447738,2014,0,新北市,土城區,土城彈藥庫
24.964499,121.447738,2014,12,新北市,土城區,土城彈藥庫
24.964499,121.447738,2014,8,新北市,土城區,土城彈藥庫
24.964499,121.447738,2014,3,新北市,土城區,土城彈藥庫
25.014733,121.557421,2014,0,台北市,大安區,富陽公園
25.014733,121.557421,2014,0,台北市,大安區,富陽公園
25.014733,121.557421,2014,1,台北市,大安區,富陽公園
25.014733,121.557421,2014,1,台北市,大安區,富陽公園
25.16793,121.416801,2014,9,新北市,八里區,挖子尾菜園
25.16793,121.416801,2014,56,新北市,八里區,挖子尾菜園
25.16793,121.416801,2014,38,新北市,八里區,挖子尾菜園
25.16793,121.416801,2014,67,新北市,八里區,挖子尾菜園
24.837799,121.310892,2014,0,桃園市,大溪區,白石山
24.837799,121.310892,2014,0,桃園市,大溪區,白石山
24.837799,121.310892,2014,0,桃園市,大溪區,白石山
24.94640059,121.3447769,2014,1,新北市,鶯歌區,尖山路 
