fishingMethodCodeAppliedByFA	year	fishingQuantityInTon
109	1990	NA
199	1990	1915 
201	1990	9826 
202	1990	53897 
203	1990	34132 
204	1990	120697 
205	1990	22307 
206	1990	484 
209	1990	4650 
211	1990	21292 
212	1990	13847 
213	1990	3945 
214	1990	5173 
219	1990	322 
221	1990	1 
222	1990	NA
223	1990	NA
299	1990	1821 
301	1990	7026 
302	1990	773 
303	1990	5474 
304	1990	17472 
305	1990	4981 
306	1990	3890 
307	1990	2460 
308	1990	497 
309	1990	1862 
310	1990	441 
312	1990	NA
313	1990	NA
399	1990	3486 
101	1991	86115 
102	1991	98775 
103	1991	107062 
104	1991	134574 
105	1991	90982 
106	1991	124176 
107	1991	51326 
108	1991	19473 
109	1991	NA
199	1991	1780 
201	1991	6605 
202	1991	42734 
203	1991	24292 
204	1991	125259 
205	1991	19921 
206	1991	379 
209	1991	4322 
211	1991	23960 
212	1991	12957 
213	1991	3699 
214	1991	1602 
219	1991	403 
221	1991	NA
222	1991	NA
223	1991	NA
299	1991	812 
301	1991	8311 
302	1991	427 
303	1991	3081 
304	1991	14183 
305	1991	3472 
306	1991	2556 
307	1991	2635 
308	1991	563 
309	1991	2151 
310	1991	495 
312	1991	NA
313	1991	NA
399	1991	3358 
101	1992	40064 
102	1992	71375 
103	1992	165879 
104	1992	237132 
105	1992	25551 
106	1992	151535 
107	1992	11053 
108	1992	34235 
109	1992	NA
199	1992	814 
201	1992	13887 
202	1992	60858 
203	1992	23156 
204	1992	110960 
205	1992	17476 
206	1992	325 
209	1992	2350 
211	1992	29043 
212	1992	16993 
213	1992	2288 
214	1992	1462 
219	1992	470 
221	1992	NA
222	1992	NA
223	1992	NA
299	1992	1245 
301	1992	10537 
302	1992	432 
303	1992	2544 
304	1992	15405 
305	1992	4077 
306	1992	2999 
307	1992	1396 
308	1992	624 
309	1992	1894 
310	1992	263 
312	1992	NA
313	1992	NA
399	1992	5228 
101	1993	44184 
102	1993	79100 
103	1993	176666 
104	1993	300193 
105	1993	NA
106	1993	197494 
107	1993	NA
108	1993	36435 
109	1993	NA
199	1993	892 
201	1993	11092 
202	1993	63849 
203	1993	16897 
204	1993	103594 
205	1993	12224 
206	1993	531 
209	1993	414 
211	1993	27287 
212	1993	13588 
213	1993	5112 
214	1993	1657 
219	1993	815 
221	1993	NA
222	1993	NA
223	1993	NA
299	1993	1542 
301	1993	12008 
302	1993	684 
303	1993	1083 
304	1993	17264 
305	1993	1927 
306	1993	2366 
307	1993	988 
308	1993	726 
309	1993	1238 
310	1993	277 
312	1993	NA
313	1993	NA
399	1993	4882 
101	1994	35400 
102	1994	61947 
103	1994	182555 
104	1994	209319 
105	1994	NA
106	1994	158303 
107	1994	NA
108	1994	12550 
109	1994	NA
199	1994	23706 
201	1994	5366 
202	1994	71941 
203	1994	21542 
204	1994	77483 
205	1994	17275 
206	1994	576 
209	1994	300 
211	1994	22698 
212	1994	14936 
213	1994	3353 
214	1994	2206 
219	1994	1113 
221	1994	NA
222	1994	NA
223	1994	NA
299	1994	3485 
301	1994	13143 
302	1994	611 
303	1994	734 
304	1994	14387 
305	1994	1682 
306	1994	2800 
307	1994	503 
308	1994	913 
309	1994	1355 
310	1994	286 
312	1994	NA
313	1994	NA
399	1994	3385 
101	1995	54140 
102	1995	55459 
103	1995	186815 
104	1995	223441 
105	1995	NA
106	1995	154362 
107	1995	NA
108	1995	13772 
109	1995	NA
199	1995	21553 
201	1995	13770 
202	1995	61961 
203	1995	18633 
204	1995	92599 
205	1995	16624 
206	1995	166 
209	1995	449 
211	1995	32691 
212	1995	11875 
213	1995	336 
214	1995	1467 
219	1995	721 
221	1995	NA
222	1995	NA
223	1995	NA
299	1995	4690 
301	1995	11580 
302	1995	978 
303	1995	1800 
304	1995	13889 
305	1995	2763 
306	1995	2838 
307	1995	1716 
308	1995	825 
309	1995	1293 
310	1995	168 
312	1995	NA
313	1995	NA
399	1995	5669 
101	1996	53797 
102	1996	45861 
103	1996	188742 
104	1996	215182 
105	1996	NA
106	1996	138172 
107	1996	NA
108	1996	8236 
109	1996	NA
199	1996	18989 
201	1996	16444 
202	1996	77075 
203	1996	16960 
204	1996	93809 
205	1996	13825 
206	1996	403 
209	1996	NA
211	1996	22258 
212	1996	8723 
213	1996	392 
214	1996	1592 
219	1996	932 
221	1996	NA
222	1996	NA
223	1996	NA
299	1996	4242 
301	1996	11554 
302	1996	434 
303	1996	1620 
304	1996	13526 
305	1996	3758 
306	1996	2957 
307	1996	1265 
308	1996	947 
309	1996	631 
310	1996	306 
312	1996	NA
313	1996	NA
399	1996	4034 
101	1997	91164 
102	1997	NA
103	1997	139874 
104	1997	207688 
105	1997	NA
106	1997	212386 
107	1997	NA
108	1997	21887 
109	1997	NA
199	1997	19240 
201	1997	14941 
202	1997	69703 
203	1997	19556 
204	1997	84172 
205	1997	13240 
206	1997	1269 
209	1997	10 
211	1997	30554 
212	1997	9196 
213	1997	293 
214	1997	1716 
219	1997	773 
221	1997	NA
222	1997	NA
223	1997	NA
299	1997	2152 
301	1997	9094 
302	1997	388 
303	1997	2042 
304	1997	15027 
305	1997	2976 
306	1997	3320 
307	1997	2243 
308	1997	856 
309	1997	475 
310	1997	231 
312	1997	NA
313	1997	NA
399	1997	3925 
101	1998	87504 
102	1998	NA
103	1998	241996 
104	1998	225805 
105	1998	NA
106	1998	201995 
107	1998	NA
108	1998	12794 
109	1998	NA
199	1998	22629 
201	1998	13449 
202	1998	42331 
203	1998	24768 
204	1998	66466 
205	1998	12213 
206	1998	716 
209	1998	126 
211	1998	37734 
212	1998	8121 
213	1998	457 
214	1998	1808 
219	1998	592 
221	1998	NA
222	1998	NA
223	1998	NA
299	1998	807 
301	1998	5501 
302	1998	454 
303	1998	4195 
304	1998	18867 
305	1998	3171 
306	1998	4540 
307	1998	2284 
308	1998	753 
309	1998	290 
