year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2013	5203	黑鯊	Carcharhinus falciformis		species	4.51	4.51		NA	4.5	4.5	4.51	4.5		4.51	
2013	5204	水鯊	Prionace glauca		species	4.35	4.35		NA	4.4	4.4	4.35	4.4		4.35	
2013	5205	馬加鯊	Isurus oxyrinchus		species	NA	4.5	map to genus rank	4.5	4.5	4.5	4.5	4.5		4.5	
2013	5300	鱝	Dasyatis akajei		species	3.84	3.84		3.8	3.8	3.8	3.84	3.8		3.84	
2013	5400	鱈魚	Theragra chalcogramma		species	NA	NA		NA	3.6	3.6	3.6	3.6		3.6	
2013	5500	秋刀魚	Cololabis saira		species	3.71	3.71		NA	3.7	3.7	3.71	3.7		3.71	
2013	5600	剝皮魚	Aluterus monceros		species	NA	2.81	map to genus rank	NA	3.8	3.8	2.81	3.8		2.81	
2013	5700	翻車魨	Mola mola		species	3.71	3.71		NA	3.7	3.7	3.71	3.7		3.71	
2013	6000	其他魚類	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6102	烏賊	Sepiidae		family	3.6	3.6		NA	NA	3.6	3.6	3.6		3.6	
2013	6103	魷魚	Ommastrephidae		family	4.09	4.09		NA	NA	4.09	4.09	4.09		4.09	
2013	6104	鎖管	Loliginidae		family	3.9	3.9		NA	NA	3.9	3.9	3.9		3.9	
2013	6109	章魚	Octopodidae		family	3.59	3.59		NA	NA	3.59	3.59	3.59		3.59	
2013	6199	其他頭足類	Cephalopoda	原文件中無此綱級註記，此乃根據原文件中 "Other cephalopods" 所做的判斷。	class	3.81	3.81		NA	NA	3.81	3.81	3.81		3.81	
2013	6201	草蝦	Penaeus monodon		species	2.6	2.6		2	NA	2.6	2.6	2.6		2.6	
2013	6202	斑節蝦	Penaeus japonicus		species	2.7	2.7		2	NA	2.7	2.7	2.7		2.7	
2013	6203	沙蝦	Metapenaeus ensis		species	2.7	2.7		NA	NA	2.7	2.7	2.7		2.7	
2013	6204	長腳大蝦	Macrobrachium rosenbergii		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6205	紅尾蝦	Penaeus penicillatus		species	2.7	2.7		2	NA	2.7	2.7	2.7		2.7	
2013	6206	厚殼蝦	Trachy penaeus	原文件採用學名 Trachy penaeus curvirostris，此為利於後續操作而捨棄亞種名。	species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2013	6207	劍蝦	Parapenaeus hardwickii		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2013	6208	大頭蝦	Heterocarpus sibogae		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2013	6209	蘆蝦	Trachypenaeus curvirostris		species	NA	3.43	map to order rank	2	NA	3.43	3.43	3.43		3.43	
2013	6210	龍蝦	Penulirus japonicus		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2013	6220	白蝦	Litopenaeus vannamei		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2013	6221	櫻花蝦	Sergestes lucens		species	NA	2.93	map to family rank	NA	NA	2.93	2.93	2.93		2.93	
2013	6222	赤尾青蝦	Acetes intermedius		species	NA	2.93	map to family rank	NA	NA	2.93	2.93	2.93		2.93	
2013	6299	其他蝦類	Decapoda	原文件中無此目級註記，此乃根據原文件中 "Other shrimps" 所做的判斷。	order	3.43	3.43		NA	NA	3.43	3.43	3.43		3.43	
2013	6300	蝦姑	Ibacus ciliatus		species	2.6	2.6		2	NA	2.6	2.6	2.6		2.6	
2013	6401	蟳	Scylla serrata		species	3.17	3.17		2	NA	3.17	3.17	3.17		3.17	
2013	6402	蠘	Portunus pelagicus		species	3	3		2	NA	3	3	3		3	
2013	6404	旭蟹	Ranina ranina		species	3.2	3.2		NA	NA	3.2	3.2	3.2		3.2	
