_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 8.2 秒 E121 度 28 分 22.3 秒	22°39'8.2sN 121°28'22.3sE	22.6522777777778	121.472861111111
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 7.9 秒 E121 度 28 分 28.1 秒	22°39'7.9sN 121°28'28.1sE	22.6521944444444	121.474472222222
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 33.5 秒 E121 度 29 分 17.8 秒	22°38'33.5sN 121°29'17.8sE	22.6426388888889	121.488277777778
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 18.9 秒 E121 度 29 分 6.2 秒	22°38'18.9sN 121°29'6.2sE	22.6385833333333	121.485055555556
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 21.5 秒 E121 度 29 分 34.8 秒	22°38'21.5sN 121°29'34.8sE	22.6393055555556	121.493
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 38 分 13.7 秒 E121 度 29 分 16.2 秒	22°38'13.7sN 121°29'16.2sE	22.6371388888889	121.487833333333
小馬漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°01'12.6""""N;121°20'10.3""""E"	23°01'12.6sN 121°20'10.3sE	23.0201666666667	121.336194444444
小馬漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°01'14.1""""N;121°20'17.1""""E"	23°01'14.1sN 121°20'17.1sE	23.0205833333333	121.338083333333
小馬漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"22°59'58.6""""N;121°19'16.3""""E"	22°59'58.6sN 121°19'16.3sE	22.9996111111111	121.321194444444
小馬漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"22°59'58""""N;121°19'23.4""""E"	22°59'58sN 121°19'23.4sE	22.9994444444445	121.323166666667
小港漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°10'11.9""""N;121°24'16.2""""E"	23°10'11.9sN 121°24'16.2sE	23.1699722222222	121.4045
小港漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°10'15.2""""N;121°24'22.3""""E"	23°10'15.2sN 121°24'22.3sE	23.1708888888889	121.406194444444
小港漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	23°10.250' N;121°24.237' E	23°10.250'N 121°24.237'E	23.1708333333333	121.40395
