214	一支釣	21,496	132,173	15,905	115,466	4,555	42,093	3,552	52,725	5,025	73,747	5,248	86,080
219	其他釣	197	1,602	106	1,150	169	2,028	84	1,587	326	5,490	184	3,220
221	珊瑚	10	19,600	18	43,750	22	56,420	5	16,320	19	38,200	41	28,963
222	飛魚卵漁業	-	-	-	-	-	-	-	-	-	-	-	-
223	扒網漁業	-	-	-	-	-	-	-	-	-	-	-	-
299	其他近海漁業	661	15,145	528	7,370	405	9,218	75	1,769	77	4,735	155	9,538
300	沿岸漁業合計	30,515	381,179	27,383	389,115	26,130	456,506	25,565	566,841	29,540	633,439	32,732	884,290
301	定置網	3,469	42,697	3,718	53,944	3,269	51,634	2,881	58,914	2,648	57,920	3,939	89,599
302	地曳網	5,826	52,668	4,785	45,149	4,112	48,327	4,136	70,620	3,784	68,153	4,232	87,708
303	火誘網	1,732	17,243	1,716	16,077	2,341	38,956	2,148	46,212	2,451	49,443	2,928	66,768
304	刺網	5,284	72,854	5,364	86,033	5,351	106,325	5,602	121,515	6,950	138,250	7,220	184,363
305	其他網	2,658	25,165	1,427	16,135	1,369	18,711	1,387	27,384	1,392	22,097	2,199	50,503
306	一支釣	-	-	665	8,872	575	8,948	612	12,159	1,139	15,965	1,241	19,458
307	延繩釣	-	-	-	-	-	-	-	-	-	-	-	-
308	其他釣	2,557	23,997	1,222	15,567	1,681	24,039	1,905	33,647	1,862	30,192	2,076	37,965
309	鏢旗魚	4,015	63,806	3,916	59,623	2,696	56,293	2,117	69,249	2,662	96,452	3,285	166,851
310	遊漁	-	-	-	-	-	-	-	-	-	-	-	-
312	櫻花蝦漁業	-	-	-	-	-	-	-	-	-	-	-	-
313	鱙漁業	-	-	-	-	-	-	-	-	-	-	-	-
399	其他沿岸漁業	4,954	82,748	4,569	87,716	4,736	103,272	477	127,140	6,652	154,967	5,613	181,114
400	海面養殖合計	17,446	306,876	19,433	386,498	24,912	694,429	29,378	852,516	31,314	1,148,306	30,936	1,189,689
401	淺海養殖	17,466	306,876	19,433	386,498	24,912	694,429	29,378	852,516	31,314	1,148,306	30,936	1,189,689
402	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
499	其他海面養殖	-	-	-	-	-	-	-	-	-	-	-	-
500	內陸漁撈合計	1,440	20,098	1,912	26,195	2,182	33,570	2,587	47,075	2,868	64,545	2,629	66,525
501	河川漁撈	1,440	20,098	1,912	26,195	2,182	33,570	2,587	47,075	2,868	64,545	2,629	66,525
502	水庫漁撈	-	-	-	-	-	-	-	-	-	-	-	-
