���k�N�X	���k�W��	�������	����q����
2052	曳繩釣　	其他鰆類	-
2053	一支釣　	其他鰆類	-
2079	其他釣　	其他鰆類	-
2096	籠具　	其他鰆類	-
2097	珊瑚　	其他鰆類	-
2098	飛魚卵漁業　	其他鰆類	-
2099	其他近海漁業　	其他鰆類	-
3000	沿岸漁業合計	其他鰆類	-
3001	定置漁具　	其他鰆類	-
3002	地曳網　	其他鰆類	-
3003	焚寄網　	其他鰆類	-
3004	刺網　	其他鰆類	-
3005	追逐網　	其他鰆類	-
3006	流袋網　	其他鰆類	-
3007	魩鱙漁業　	其他鰆類	-
3008	櫻花蝦漁業　	其他鰆類	-
3009	赤尾青蝦漁業　	其他鰆類	-
3049	其他網　	其他鰆類	-
3050	一支釣　	其他鰆類	-
3051	雜魚延繩釣　	其他鰆類	-
3079	其他釣　	其他鰆類	-
3096	鏢旗魚　	其他鰆類	-
3097	遊漁　	其他鰆類	-
3098	籠具　	其他鰆類	-
3099	其他沿岸漁業　	其他鰆類	-
4000	內陸漁撈合計	其他鰆類	-
4001	河川漁撈　	其他鰆類	-
4002	水庫漁撈　	其他鰆類	-
4099	其他內陸漁撈　	其他鰆類	-
5000	海面養殖合計	其他鰆類	-
5001	淺海養殖　	其他鰆類	-
5002	箱網養殖　	其他鰆類	-
5099	其他海面養殖　	其他鰆類	-
6000	內陸養殖合計	其他鰆類	-
6001	鹹水魚塭　	其他鰆類	-
6002	淡水魚塭　	其他鰆類	-
6003	箱網養殖　	其他鰆類	-
6004	觀賞魚養殖　	其他鰆類	-
6099	其他內陸養殖　	其他鰆類	-
0000	總 計	大目鮪	1,210
1000	遠洋漁業合計	大目鮪	-
1001	單船拖網　	大目鮪	-
1002	雙船拖網　	大目鮪	-
1003	鰹鮪圍網　	大目鮪	-
1004	秋刀魚棒受網　	大目鮪	-
1050	鮪延繩釣　	大目鮪	-
1051	魷釣　	大目鮪	-
1099	其他遠洋漁業　	大目鮪	-
2000	近海漁業合計	大目鮪	1,142
2001	巾著網　	大目鮪	-
2002	鯖鰺圍網　	大目鮪	-
2003	棒受網　	大目鮪	109
2004	中小拖網　	大目鮪	10
2005	刺網　	大目鮪	5
2006	扒網　	大目鮪	1,018
2049	其他網　	大目鮪	-
2050	鮪延繩釣　	大目鮪	-
2051	雜魚延繩釣　	大目鮪	-
2052	曳繩釣　	大目鮪	-
2053	一支釣　	大目鮪	-
2079	其他釣　	大目鮪	-
2096	籠具　	大目鮪	-
2097	珊瑚　	大目鮪	-
2098	飛魚卵漁業　	大目鮪	-
2099	其他近海漁業　	大目鮪	-
3000	沿岸漁業合計	大目鮪	69
3001	定置漁具　	大目鮪	0
3002	地曳網　	大目鮪	-
3003	焚寄網　	大目鮪	-
3004	刺網　	大目鮪	68
3005	追逐網　	大目鮪	-
3006	流袋網　	大目鮪	-
3007	魩鱙漁業　	大目鮪	-
3008	櫻花蝦漁業　	大目鮪	-
3009	赤尾青蝦漁業　	大目鮪	-
3049	其他網　	大目鮪	-
3050	一支釣　	大目鮪	1
3051	雜魚延繩釣　	大目鮪	-
3079	其他釣　	大目鮪	-
3096	鏢旗魚　	大目鮪	-
3097	遊漁　	大目鮪	-
3098	籠具　	大目鮪	-
3099	其他沿岸漁業　	大目鮪	-
4000	內陸漁撈合計	大目鮪	-
4001	河川漁撈　	大目鮪	-
4002	水庫漁撈　	大目鮪	-
4099	其他內陸漁撈　	大目鮪	-
5000	海面養殖合計	大目鮪	-
5001	淺海養殖　	大目鮪	-
5002	箱網養殖　	大目鮪	-
5099	其他海面養殖　	大目鮪	-
6000	內陸養殖合計	大目鮪	-
6001	鹹水魚塭　	大目鮪	-
6002	淡水魚塭　	大目鮪	-
6003	箱網養殖　	大目鮪	-
6004	觀賞魚養殖　	大目鮪	-
6099	其他內陸養殖　	大目鮪	-
0000	總 計	黃鰭鮪	65
1000	遠洋漁業合計	黃鰭鮪	-
1001	單船拖網　	黃鰭鮪	-
1002	雙船拖網　	黃鰭鮪	-
1003	鰹鮪圍網　	黃鰭鮪	-
1004	秋刀魚棒受網　	黃鰭鮪	-
1050	鮪延繩釣　	黃鰭鮪	-
1051	魷釣　	黃鰭鮪	-
1099	其他遠洋漁業　	黃鰭鮪	-
2000	近海漁業合計	黃鰭鮪	-
2001	巾著網　	黃鰭鮪	-
2002	鯖鰺圍網　	黃鰭鮪	-
2003	棒受網　	黃鰭鮪	-
2004	中小拖網　	黃鰭鮪	-
2005	刺網　	黃鰭鮪	-
2006	扒網　	黃鰭鮪	-
2049	其他網　	黃鰭鮪	-
2050	鮪延繩釣　	黃鰭鮪	-
2051	雜魚延繩釣　	黃鰭鮪	-
2052	曳繩釣　	黃鰭鮪	-
2053	一支釣　	黃鰭鮪	-
2079	其他釣　	黃鰭鮪	-
2096	籠具　	黃鰭鮪	-
2097	珊瑚　	黃鰭鮪	-
2098	飛魚卵漁業　	黃鰭鮪	-
2099	其他近海漁業　	黃鰭鮪	-
3000	沿岸漁業合計	黃鰭鮪	65
3001	定置漁具　	黃鰭鮪	-
3002	地曳網　	黃鰭鮪	-
3003	焚寄網　	黃鰭鮪	-
3004	刺網　	黃鰭鮪	-
3005	追逐網　	黃鰭鮪	-
3006	流袋網　	黃鰭鮪	-
3007	魩鱙漁業　	黃鰭鮪	65
3008	櫻花蝦漁業　	黃鰭鮪	-
3009	赤尾青蝦漁業　	黃鰭鮪	-
3049	其他網　	黃鰭鮪	-
3050	一支釣　	黃鰭鮪	-
3051	雜魚延繩釣　	黃鰭鮪	-
3079	其他釣　	黃鰭鮪	-
3096	鏢旗魚　	黃鰭鮪	-
3097	遊漁　	黃鰭鮪	-
3098	籠具　	黃鰭鮪	-
3099	其他沿岸漁業　	黃鰭鮪	-
4000	內陸漁撈合計	黃鰭鮪	-
4001	河川漁撈　	黃鰭鮪	-
4002	水庫漁撈　	黃鰭鮪	-
4099	其他內陸漁撈　	黃鰭鮪	-
5000	海面養殖合計	黃鰭鮪	-
5001	淺海養殖　	黃鰭鮪	-
5002	箱網養殖　	黃鰭鮪	-
5099	其他海面養殖　	黃鰭鮪	-
6000	內陸養殖合計	黃鰭鮪	-
6001	鹹水魚塭　	黃鰭鮪	-
6002	淡水魚塭　	黃鰭鮪	-
6003	箱網養殖　	黃鰭鮪	-
6004	觀賞魚養殖　	黃鰭鮪	-
6099	其他內陸養殖　	黃鰭鮪	-
0000	總 計	南方黑鮪	398,228
1000	遠洋漁業合計	南方黑鮪	318,325
1001	單船拖網　	南方黑鮪	-
1002	雙船拖網　	南方黑鮪	-
1003	鰹鮪圍網　	南方黑鮪	185,712
1004	秋刀魚棒受網　	南方黑鮪	-
1050	鮪延繩釣　	南方黑鮪	132,613
1051	魷釣　	南方黑鮪	-
1099	其他遠洋漁業　	南方黑鮪	-
2000	近海漁業合計	南方黑鮪	74,930
2001	巾著網　	南方黑鮪	-
2002	鯖鰺圍網　	南方黑鮪	-
2003	棒受網　	南方黑鮪	672
2004	中小拖網　	南方黑鮪	7,133
2005	刺網　	南方黑鮪	330
2006	扒網　	南方黑鮪	60,619
2049	其他網　	南方黑鮪	21
2050	鮪延繩釣　	南方黑鮪	4,967
2051	雜魚延繩釣　	南方黑鮪	230
2052	曳繩釣　	南方黑鮪	442
2053	一支釣　	南方黑鮪	393
2079	其他釣　	南方黑鮪	-
2096	籠具　	南方黑鮪	-
2097	珊瑚　	南方黑鮪	-
2098	飛魚卵漁業　	南方黑鮪	-
2099	其他近海漁業　	南方黑鮪	123
3000	沿岸漁業合計	南方黑鮪	4,973
3001	定置漁具　	南方黑鮪	3,170
3002	地曳網　	南方黑鮪	-
3003	焚寄網　	南方黑鮪	1
3004	刺網　	南方黑鮪	824
3005	追逐網　	南方黑鮪	-
3006	流袋網　	南方黑鮪	-
3007	魩鱙漁業　	南方黑鮪	-
3008	櫻花蝦漁業　	南方黑鮪	-
3009	赤尾青蝦漁業　	南方黑鮪	-
3049	其他網　	南方黑鮪	-
3050	一支釣　	南方黑鮪	291
3051	雜魚延繩釣　	南方黑鮪	54
3079	其他釣　	南方黑鮪	105
3096	鏢旗魚　	南方黑鮪	1
3097	遊漁　	南方黑鮪	24
3098	籠具　	南方黑鮪	-
3099	其他沿岸漁業　	南方黑鮪	504
4000	內陸漁撈合計	南方黑鮪	-
4001	河川漁撈　	南方黑鮪	-
4002	水庫漁撈　	南方黑鮪	-
4099	其他內陸漁撈　	南方黑鮪	-
5000	海面養殖合計	南方黑鮪	-
5001	淺海養殖　	南方黑鮪	-
5002	箱網養殖　	南方黑鮪	-
5099	其他海面養殖　	南方黑鮪	-
6000	內陸養殖合計	南方黑鮪	-
6001	鹹水魚塭　	南方黑鮪	-
6002	淡水魚塭　	南方黑鮪	-
6003	箱網養殖　	南方黑鮪	-
6004	觀賞魚養殖　	南方黑鮪	-
6099	其他內陸養殖　	南方黑鮪	-
0000	總 計	劍旗魚	149,651
1000	遠洋漁業合計	劍旗魚	147,288
1001	單船拖網　	劍旗魚	-
1002	雙船拖網　	劍旗魚	-
1003	鰹鮪圍網　	劍旗魚	146,211
1004	秋刀魚棒受網　	劍旗魚	-
1050	鮪延繩釣　	劍旗魚	1,076
1051	魷釣　	劍旗魚	-
1099	其他遠洋漁業　	劍旗魚	-
2000	近海漁業合計	劍旗魚	1,119
2001	巾著網　	劍旗魚	-
2002	鯖鰺圍網　	劍旗魚	-
2003	棒受網　	劍旗魚	-
2004	中小拖網　	劍旗魚	1
2005	刺網　	劍旗魚	33
2006	扒網　	劍旗魚	577
2049	其他網　	劍旗魚	9
2050	鮪延繩釣　	劍旗魚	73
2051	雜魚延繩釣　	劍旗魚	205
2052	曳繩釣　	劍旗魚	98
2053	一支釣　	劍旗魚	101
2079	其他釣　	劍旗魚	-
2096	籠具　	劍旗魚	-
2097	珊瑚　	劍旗魚	-
2098	飛魚卵漁業　	劍旗魚	-
2099	其他近海漁業　	劍旗魚	22
3000	沿岸漁業合計	劍旗魚	1,244
3001	定置漁具　	劍旗魚	1,117
3002	地曳網　	劍旗魚	-
3003	焚寄網　	劍旗魚	-
3004	刺網　	劍旗魚	42
3005	追逐網　	劍旗魚	-
3006	流袋網　	劍旗魚	-
3007	魩鱙漁業　	劍旗魚	-
3008	櫻花蝦漁業　	劍旗魚	-
3009	赤尾青蝦漁業　	劍旗魚	-
3049	其他網　	劍旗魚	-
3050	一支釣　	劍旗魚	3
3051	雜魚延繩釣　	劍旗魚	-
3079	其他釣　	劍旗魚	57
3096	鏢旗魚　	劍旗魚	1
3097	遊漁　	劍旗魚	24
3098	籠具　	劍旗魚	-
3099	其他沿岸漁業　	劍旗魚	-
4000	內陸漁撈合計	劍旗魚	-
4001	河川漁撈　	劍旗魚	-
4002	水庫漁撈　	劍旗魚	-
4099	其他內陸漁撈　	劍旗魚	-
5000	海面養殖合計	劍旗魚	-
5001	淺海養殖　	劍旗魚	-
5002	箱網養殖　	劍旗魚	-
5099	其他海面養殖　	劍旗魚	-
6000	內陸養殖合計	劍旗魚	-
6001	鹹水魚塭　	劍旗魚	-
6002	淡水魚塭　	劍旗魚	-
6003	箱網養殖　	劍旗魚	-
6004	觀賞魚養殖　	劍旗魚	-
6099	其他內陸養殖　	劍旗魚	-
0000	總 計	紅肉旗魚	1,023
1000	遠洋漁業合計	紅肉旗魚	-
1001	單船拖網　	紅肉旗魚	-
1002	雙船拖網　	紅肉旗魚	-
1003	鰹鮪圍網　	紅肉旗魚	-
1004	秋刀魚棒受網　	紅肉旗魚	-
1050	鮪延繩釣　	紅肉旗魚	-
1051	魷釣　	紅肉旗魚	-
1099	其他遠洋漁業　	紅肉旗魚	-
2000	近海漁業合計	紅肉旗魚	253
2001	巾著網　	紅肉旗魚	-
2002	鯖鰺圍網　	紅肉旗魚	-
2003	棒受網　	紅肉旗魚	-
2004	中小拖網　	紅肉旗魚	27
2005	刺網　	紅肉旗魚	5
2006	扒網　	紅肉旗魚	214
2049	其他網　	紅肉旗魚	-
2050	鮪延繩釣　	紅肉旗魚	7
2051	雜魚延繩釣　	紅肉旗魚	0
2052	曳繩釣　	紅肉旗魚	-
2053	一支釣　	紅肉旗魚	-
2079	其他釣　	紅肉旗魚	-
2096	籠具　	紅肉旗魚	-
2097	珊瑚　	紅肉旗魚	-
2098	飛魚卵漁業　	紅肉旗魚	-
2099	其他近海漁業　	紅肉旗魚	-
3000	沿岸漁業合計	紅肉旗魚	770
3001	定置漁具　	紅肉旗魚	596
3002	地曳網　	紅肉旗魚	-
3003	焚寄網　	紅肉旗魚	-
3004	刺網　	紅肉旗魚	159
3005	追逐網　	紅肉旗魚	-
3006	流袋網　	紅肉旗魚	-
3007	魩鱙漁業　	紅肉旗魚	-
3008	櫻花蝦漁業　	紅肉旗魚	-
3009	赤尾青蝦漁業　	紅肉旗魚	-
3049	其他網　	紅肉旗魚	-
3050	一支釣　	紅肉旗魚	2
3051	雜魚延繩釣　	紅肉旗魚	9
3079	其他釣　	紅肉旗魚	5
3096	鏢旗魚　	紅肉旗魚	-
3097	遊漁　	紅肉旗魚	-
3098	籠具　	紅肉旗魚	-
3099	其他沿岸漁業　	紅肉旗魚	-
4000	內陸漁撈合計	紅肉旗魚	-
4001	河川漁撈　	紅肉旗魚	-
4002	水庫漁撈　	紅肉旗魚	-
4099	其他內陸漁撈　	紅肉旗魚	-
5000	海面養殖合計	紅肉旗魚	-
5001	淺海養殖　	紅肉旗魚	-
5002	箱網養殖　	紅肉旗魚	-
5099	其他海面養殖　	紅肉旗魚	-
6000	內陸養殖合計	紅肉旗魚	-
6001	鹹水魚塭　	紅肉旗魚	-
6002	淡水魚塭　	紅肉旗魚	-
6003	箱網養殖　	紅肉旗魚	-
6004	觀賞魚養殖　	紅肉旗魚	-
6099	其他內陸養殖　	紅肉旗魚	-
0000	總 計	黑皮旗魚	3,214
1000	遠洋漁業合計	黑皮旗魚	-
1001	單船拖網　	黑皮旗魚	-
1002	雙船拖網　	黑皮旗魚	-
1003	鰹鮪圍網　	黑皮旗魚	-
1004	秋刀魚棒受網　	黑皮旗魚	-
1050	鮪延繩釣　	黑皮旗魚	-
1051	魷釣　	黑皮旗魚	-
1099	其他遠洋漁業　	黑皮旗魚	-
2000	近海漁業合計	黑皮旗魚	2,720
2001	巾著網　	黑皮旗魚	-
2002	鯖鰺圍網　	黑皮旗魚	-
2003	棒受網　	黑皮旗魚	361
2004	中小拖網　	黑皮旗魚	13
2005	刺網　	黑皮旗魚	4
2006	扒網　	黑皮旗魚	1,976
2049	其他網　	黑皮旗魚	3
2050	鮪延繩釣　	黑皮旗魚	216
2051	雜魚延繩釣　	黑皮旗魚	1
2052	曳繩釣　	黑皮旗魚	57
2053	一支釣　	黑皮旗魚	-
2079	其他釣　	黑皮旗魚	-
2096	籠具　	黑皮旗魚	-
2097	珊瑚　	黑皮旗魚	-
2098	飛魚卵漁業　	黑皮旗魚	-
2099	其他近海漁業　	黑皮旗魚	90
3000	沿岸漁業合計	黑皮旗魚	494
3001	定置漁具　	黑皮旗魚	352
3002	地曳網　	黑皮旗魚	-
3003	焚寄網　	黑皮旗魚	1
3004	刺網　	黑皮旗魚	141
3005	追逐網　	黑皮旗魚	-
3006	流袋網　	黑皮旗魚	-
3007	魩鱙漁業　	黑皮旗魚	-
3008	櫻花蝦漁業　	黑皮旗魚	-
3009	赤尾青蝦漁業　	黑皮旗魚	-
3049	其他網　	黑皮旗魚	-
3050	一支釣　	黑皮旗魚	-
3051	雜魚延繩釣　	黑皮旗魚	-
3079	其他釣　	黑皮旗魚	-
3096	鏢旗魚　	黑皮旗魚	-
3097	遊漁　	黑皮旗魚	-
3098	籠具　	黑皮旗魚	-
3099	其他沿岸漁業　	黑皮旗魚	-
4000	內陸漁撈合計	黑皮旗魚	-
4001	河川漁撈　	黑皮旗魚	-
4002	水庫漁撈　	黑皮旗魚	-
4099	其他內陸漁撈　	黑皮旗魚	-
5000	海面養殖合計	黑皮旗魚	-
5001	淺海養殖　	黑皮旗魚	-
5002	箱網養殖　	黑皮旗魚	-
5099	其他海面養殖　	黑皮旗魚	-
6000	內陸養殖合計	黑皮旗魚	-
6001	鹹水魚塭　	黑皮旗魚	-
6002	淡水魚塭　	黑皮旗魚	-
6003	箱網養殖　	黑皮旗魚	-
6004	觀賞魚養殖　	黑皮旗魚	-
6099	其他內陸養殖　	黑皮旗魚	-
0000	總 計	立翅旗魚	272
1000	遠洋漁業合計	立翅旗魚	-
1001	單船拖網　	立翅旗魚	-
1002	雙船拖網　	立翅旗魚	-
1003	鰹鮪圍網　	立翅旗魚	-
1004	秋刀魚棒受網　	立翅旗魚	-
1050	鮪延繩釣　	立翅旗魚	-
1051	魷釣　	立翅旗魚	-
1099	其他遠洋漁業　	立翅旗魚	-
2000	近海漁業合計	立翅旗魚	177
2001	巾著網　	立翅旗魚	-
2002	鯖鰺圍網　	立翅旗魚	-
2003	棒受網　	立翅旗魚	1
2004	中小拖網　	立翅旗魚	-
2005	刺網　	立翅旗魚	102
2006	扒網　	立翅旗魚	67
2049	其他網　	立翅旗魚	-
2050	鮪延繩釣　	立翅旗魚	-
2051	雜魚延繩釣　	立翅旗魚	0
2052	曳繩釣　	立翅旗魚	2
2053	一支釣　	立翅旗魚	4
2079	其他釣　	立翅旗魚	-
2096	籠具　	立翅旗魚	-
2097	珊瑚　	立翅旗魚	-
2098	飛魚卵漁業　	立翅旗魚	-
2099	其他近海漁業　	立翅旗魚	-
3000	沿岸漁業合計	立翅旗魚	95
3001	定置漁具　	立翅旗魚	37
3002	地曳網　	立翅旗魚	-
3003	焚寄網　	立翅旗魚	-
3004	刺網　	立翅旗魚	42
3005	追逐網　	立翅旗魚	-
3006	流袋網　	立翅旗魚	-
3007	魩鱙漁業　	立翅旗魚	-
3008	櫻花蝦漁業　	立翅旗魚	-
3009	赤尾青蝦漁業　	立翅旗魚	-
3049	其他網　	立翅旗魚	-
3050	一支釣　	立翅旗魚	5
3051	雜魚延繩釣　	立翅旗魚	-
3079	其他釣　	立翅旗魚	11
3096	鏢旗魚　	立翅旗魚	-
3097	遊漁　	立翅旗魚	-
3098	籠具　	立翅旗魚	-
3099	其他沿岸漁業　	立翅旗魚	-
4000	內陸漁撈合計	立翅旗魚	-
4001	河川漁撈　	立翅旗魚	-
4002	水庫漁撈　	立翅旗魚	-
4099	其他內陸漁撈　	立翅旗魚	-
5000	海面養殖合計	立翅旗魚	-
5001	淺海養殖　	立翅旗魚	-
5002	箱網養殖　	立翅旗魚	-
5099	其他海面養殖　	立翅旗魚	-
6000	內陸養殖合計	立翅旗魚	-
6001	鹹水魚塭　	立翅旗魚	-
6002	淡水魚塭　	立翅旗魚	-
6003	箱網養殖　	立翅旗魚	-
6004	觀賞魚養殖　	立翅旗魚	-
6099	其他內陸養殖　	立翅旗魚	-
0000	總 計	雨傘旗魚	524
1000	遠洋漁業合計	雨傘旗魚	1
1001	單船拖網　	雨傘旗魚	-
1002	雙船拖網　	雨傘旗魚	-
1003	鰹鮪圍網　	雨傘旗魚	-
1004	秋刀魚棒受網　	雨傘旗魚	-
1050	鮪延繩釣　	雨傘旗魚	1
1051	魷釣　	雨傘旗魚	-
1099	其他遠洋漁業　	雨傘旗魚	-
2000	近海漁業合計	雨傘旗魚	370
2001	巾著網　	雨傘旗魚	-
2002	鯖鰺圍網　	雨傘旗魚	-
2003	棒受網　	雨傘旗魚	-
2004	中小拖網　	雨傘旗魚	153
2005	刺網　	雨傘旗魚	145
2006	扒網　	雨傘旗魚	-
2049	其他網　	雨傘旗魚	5
2050	鮪延繩釣　	雨傘旗魚	2
2051	雜魚延繩釣　	雨傘旗魚	23
2052	曳繩釣　	雨傘旗魚	34
2053	一支釣　	雨傘旗魚	7
2079	其他釣　	雨傘旗魚	-
2096	籠具　	雨傘旗魚	-
2097	珊瑚　	雨傘旗魚	-
2098	飛魚卵漁業　	雨傘旗魚	-
2099	其他近海漁業　	雨傘旗魚	1
3000	沿岸漁業合計	雨傘旗魚	153
3001	定置漁具　	雨傘旗魚	86
3002	地曳網　	雨傘旗魚	-
3003	焚寄網　	雨傘旗魚	-
3004	刺網　	雨傘旗魚	34
3005	追逐網　	雨傘旗魚	-
3006	流袋網　	雨傘旗魚	-
3007	魩鱙漁業　	雨傘旗魚	-
3008	櫻花蝦漁業　	雨傘旗魚	-
3009	赤尾青蝦漁業　	雨傘旗魚	-
3049	其他網　	雨傘旗魚	-
3050	一支釣　	雨傘旗魚	6
3051	雜魚延繩釣　	雨傘旗魚	26
3079	其他釣　	雨傘旗魚	-
3096	鏢旗魚　	雨傘旗魚	-
3097	遊漁　	雨傘旗魚	-
3098	籠具　	雨傘旗魚	-
3099	其他沿岸漁業　	雨傘旗魚	-
4000	內陸漁撈合計	雨傘旗魚	-
4001	河川漁撈　	雨傘旗魚	-
4002	水庫漁撈　	雨傘旗魚	-
4099	其他內陸漁撈　	雨傘旗魚	-
5000	海面養殖合計	雨傘旗魚	-
5001	淺海養殖　	雨傘旗魚	-
5002	箱網養殖　	雨傘旗魚	-
5099	其他海面養殖　	雨傘旗魚	-
6000	內陸養殖合計	雨傘旗魚	-
6001	鹹水魚塭　	雨傘旗魚	-
6002	淡水魚塭　	雨傘旗魚	-
6003	箱網養殖　	雨傘旗魚	-
6004	觀賞魚養殖　	雨傘旗魚	-
6099	其他內陸養殖　	雨傘旗魚	-
0000	總 計	鋸峰齒鯊	442
1000	遠洋漁業合計	鋸峰齒鯊	14
1001	單船拖網　	鋸峰齒鯊	-
1002	雙船拖網　	鋸峰齒鯊	-
1003	鰹鮪圍網　	鋸峰齒鯊	-
1004	秋刀魚棒受網　	鋸峰齒鯊	-
1050	鮪延繩釣　	鋸峰齒鯊	14
1051	魷釣　	鋸峰齒鯊	-
1099	其他遠洋漁業　	鋸峰齒鯊	-
2000	近海漁業合計	鋸峰齒鯊	116
2001	巾著網　	鋸峰齒鯊	-
2002	鯖鰺圍網　	鋸峰齒鯊	-
2003	棒受網　	鋸峰齒鯊	-
2004	中小拖網　	鋸峰齒鯊	64
2005	刺網　	鋸峰齒鯊	10
2006	扒網　	鋸峰齒鯊	-
2049	其他網　	鋸峰齒鯊	4
2050	鮪延繩釣　	鋸峰齒鯊	2
2051	雜魚延繩釣　	鋸峰齒鯊	0
2052	曳繩釣　	鋸峰齒鯊	34
2053	一支釣　	鋸峰齒鯊	3
2079	其他釣　	鋸峰齒鯊	-
2096	籠具　	鋸峰齒鯊	-
2097	珊瑚　	鋸峰齒鯊	-
2098	飛魚卵漁業　	鋸峰齒鯊	-
2099	其他近海漁業　	鋸峰齒鯊	-
3000	沿岸漁業合計	鋸峰齒鯊	311
3001	定置漁具　	鋸峰齒鯊	85
3002	地曳網　	鋸峰齒鯊	-
3003	焚寄網　	鋸峰齒鯊	-
3004	刺網　	鋸峰齒鯊	225
3005	追逐網　	鋸峰齒鯊	-
3006	流袋網　	鋸峰齒鯊	-
3007	魩鱙漁業　	鋸峰齒鯊	-
3008	櫻花蝦漁業　	鋸峰齒鯊	-
3009	赤尾青蝦漁業　	鋸峰齒鯊	-
3049	其他網　	鋸峰齒鯊	-
3050	一支釣　	鋸峰齒鯊	2
3051	雜魚延繩釣　	鋸峰齒鯊	-
3079	其他釣　	鋸峰齒鯊	-
3096	鏢旗魚　	鋸峰齒鯊	-
3097	遊漁　	鋸峰齒鯊	-
3098	籠具　	鋸峰齒鯊	-
3099	其他沿岸漁業　	鋸峰齒鯊	-
4000	內陸漁撈合計	鋸峰齒鯊	-
4001	河川漁撈　	鋸峰齒鯊	-
4002	水庫漁撈　	鋸峰齒鯊	-
4099	其他內陸漁撈　	鋸峰齒鯊	-
5000	海面養殖合計	鋸峰齒鯊	-
5001	淺海養殖　	鋸峰齒鯊	-
5002	箱網養殖　	鋸峰齒鯊	-
5099	其他海面養殖　	鋸峰齒鯊	-
6000	內陸養殖合計	鋸峰齒鯊	-
6001	鹹水魚塭　	鋸峰齒鯊	-
6002	淡水魚塭　	鋸峰齒鯊	-
6003	箱網養殖　	鋸峰齒鯊	-
6004	觀賞魚養殖　	鋸峰齒鯊	-
6099	其他內陸養殖　	鋸峰齒鯊	-
0000	總 計	尖吻鯖鯊	51,344
1000	遠洋漁業合計	尖吻鯖鯊	50,818
1001	單船拖網　	尖吻鯖鯊	-
1002	雙船拖網　	尖吻鯖鯊	-
1003	鰹鮪圍網　	尖吻鯖鯊	-
1004	秋刀魚棒受網　	尖吻鯖鯊	-
1050	鮪延繩釣　	尖吻鯖鯊	50,818
1051	魷釣　	尖吻鯖鯊	-
1099	其他遠洋漁業　	尖吻鯖鯊	-
2000	近海漁業合計	尖吻鯖鯊	525
2001	巾著網　	尖吻鯖鯊	-
2002	鯖鰺圍網　	尖吻鯖鯊	-
2003	棒受網　	尖吻鯖鯊	-
2004	中小拖網　	尖吻鯖鯊	-
2005	刺網　	尖吻鯖鯊	-
2006	扒網　	尖吻鯖鯊	-
2049	其他網　	尖吻鯖鯊	-
2050	鮪延繩釣　	尖吻鯖鯊	525
2051	雜魚延繩釣　	尖吻鯖鯊	-
2052	曳繩釣　	尖吻鯖鯊	-
2053	一支釣　	尖吻鯖鯊	-
2079	其他釣　	尖吻鯖鯊	-
2096	籠具　	尖吻鯖鯊	-
2097	珊瑚　	尖吻鯖鯊	-
2098	飛魚卵漁業　	尖吻鯖鯊	-
2099	其他近海漁業　	尖吻鯖鯊	-
3000	沿岸漁業合計	尖吻鯖鯊	0
3001	定置漁具　	尖吻鯖鯊	0
3002	地曳網　	尖吻鯖鯊	-
3003	焚寄網　	尖吻鯖鯊	-
3004	刺網　	尖吻鯖鯊	0
3005	追逐網　	尖吻鯖鯊	-
3006	流袋網　	尖吻鯖鯊	-
3007	魩鱙漁業　	尖吻鯖鯊	-
3008	櫻花蝦漁業　	尖吻鯖鯊	-
3009	赤尾青蝦漁業　	尖吻鯖鯊	-
3049	其他網　	尖吻鯖鯊	-
3050	一支釣　	尖吻鯖鯊	-
3051	雜魚延繩釣　	尖吻鯖鯊	-
3079	其他釣　	尖吻鯖鯊	-
3096	鏢旗魚　	尖吻鯖鯊	-
3097	遊漁　	尖吻鯖鯊	-
3098	籠具　	尖吻鯖鯊	-
3099	其他沿岸漁業　	尖吻鯖鯊	-
4000	內陸漁撈合計	尖吻鯖鯊	-
4001	河川漁撈　	尖吻鯖鯊	-
4002	水庫漁撈　	尖吻鯖鯊	-
4099	其他內陸漁撈　	尖吻鯖鯊	-
5000	海面養殖合計	尖吻鯖鯊	-
5001	淺海養殖　	尖吻鯖鯊	-
5002	箱網養殖　	尖吻鯖鯊	-
5099	其他海面養殖　	尖吻鯖鯊	-
6000	內陸養殖合計	尖吻鯖鯊	-
6001	鹹水魚塭　	尖吻鯖鯊	-
6002	淡水魚塭　	尖吻鯖鯊	-
6003	箱網養殖　	尖吻鯖鯊	-
6004	觀賞魚養殖　	尖吻鯖鯊	-
6099	其他內陸養殖　	尖吻鯖鯊	-
0000	總 計	秋刀魚	46,648
1000	遠洋漁業合計	秋刀魚	46,222
1001	單船拖網　	秋刀魚	-
1002	雙船拖網　	秋刀魚	-
1003	鰹鮪圍網　	秋刀魚	5,004
1004	秋刀魚棒受網　	秋刀魚	-
1050	鮪延繩釣　	秋刀魚	41,219
1051	魷釣　	秋刀魚	-
1099	其他遠洋漁業　	秋刀魚	-
2000	近海漁業合計	秋刀魚	418
2001	巾著網　	秋刀魚	-
2002	鯖鰺圍網　	秋刀魚	-
2003	棒受網　	秋刀魚	-
2004	中小拖網　	秋刀魚	-
2005	刺網　	秋刀魚	-
2006	扒網　	秋刀魚	1
2049	其他網　	秋刀魚	-
2050	鮪延繩釣　	秋刀魚	417
2051	雜魚延繩釣　	秋刀魚	-
2052	曳繩釣　	秋刀魚	-
2053	一支釣　	秋刀魚	-
2079	其他釣　	秋刀魚	-
