採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
磯崎海水浴場,磯崎海水浴場右,甲,2010/8/23 上午 08:11:00,6213,28.6,8.2,3.3,28.8,6.6,0.01,<0.01,0.002,32.0,0.565,6.4,102.4,0.013,140,<10
磯崎海水浴場,磯崎海水浴場中,甲,2010/8/23 上午 08:03:00,6212,28.6,8.2,4.4,28.8,6.7,<0.01,0.02,0.002,32.2,0.549,6.4,102.8,0.010,130,20
磯崎海水浴場,磯崎海水浴場左,甲,2010/8/23 上午 07:55:00,6211,28.6,8.1,3.8,28.8,6.6,0.01,<0.01,0.001,32.0,0.581,6.4,102.7,0.010,150,10
淺水灣,淺水灣左,甲,2010/8/23 上午 07:36:00,6201,29.0,8.0,6.9,29.6,4.8,0.02,0.08,0.003,32.2,0.758,4.8,74.4,0.033,65,10
淺水灣,淺水灣中,甲,2010/8/23 上午 07:26:00,6202,29.0,8.0,7.8,29.5,4.8,0.02,0.08,0.005,32.3,0.703,4.8,73.4,0.036,90,10
淺水灣,淺水灣右,甲,2010/8/23 上午 07:15:00,6203,29.0,8.0,6.2,29.5,4.7,0.02,0.06,0.003,31.9,0.660,4.7,72.6,0.025,55,<10
西子灣海水浴場,西子灣海水浴場中,乙,2010/8/22 下午 02:28:00,6112,30.8,8.2,6.7,32.9,6.5,0.13,0.05,0.010,33.5,0.176,6.6,104.2,0.016,25,10
西子灣海水浴場,西子灣海水浴場右,乙,2010/8/22 下午 02:18:00,6113,30.7,8.2,3.6,32.9,7.1,0.14,0.05,0.010,33.5,0.160,7.0,114.2,0.023,20,<10
西子灣海水浴場,西子灣海水浴場左,乙,2010/8/22 下午 02:05:00,6111,30.4,8.2,4.0,32.9,6.6,0.12,0.04,0.009,33.5,0.177,6.5,105.8,0.021,20,<10
白砂沙灘,白砂沙灘右,甲,2010/8/22 下午 02:03:00,6243,31.1,8.1,0.45,28.6,6.0,<0.01,0.05,0.002,33.4,0.357,6.1,98.2,0.012,35,20
旗津海水浴場,旗津海水浴場右,乙,2010/8/22 下午 01:55:00,6083,30.5,8.4,6.2,31.2,6.8,0.03,<0.01,<0.001,32.9,0.259,6.6,107.8,0.021,30,10
白砂沙灘,白砂沙灘中,甲,2010/8/22 下午 01:55:00,6242,32.2,8.1,0.45,28.6,6.0,<0.01,0.05,0.002,33.3,0.356,6.0,98.4,0.013,15,10
白砂沙灘,白砂沙灘左,甲,2010/8/22 下午 01:46:00,6241,31.6,8.1,0.45,28.6,6.0,<0.01,0.08,0.001,33.2,0.266,6.1,97.7,0.010,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2010/8/22 下午 01:42:00,6082,29.8,8.4,3.5,31.2,6.6,0.06,<0.01,0.001,32.8,0.258,6.5,103.2,0.027,15,<10
杉原海水浴場,杉原海水浴場右,甲,2010/8/22 下午 01:42:00,6103,29.3,8.1,1.3,29.8,6.1,0.03,0.02,<0.001,34.4,0.291,6.0,96.0,0.016,45,<10
杉原海水浴場,杉原海水浴場中,甲,2010/8/22 下午 01:36:00,6102,29.2,8.1,2.7,29.8,6.3,0.02,0.01,<0.001,33.9,0.236,6.1,98.3,0.029,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2010/8/22 下午 01:30:00,6081,29.6,8.4,4.1,31.2,6.5,0.06,<0.01,0.002,32.8,0.355,6.5,102.8,0.025,45,20
杉原海水浴場,杉原海水浴場左,甲,2010/8/22 下午 01:30:00,6101,29.2,8.2,3.1,29.8,6.2,0.04,0.02,<0.001,35.0,0.273,6.1,97.5,0.012,<10,<10
