採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
桃園沿海海域,海湖電廠,乙,2006/11/9 上午 07:45:00,5137,1.0,24.1,23.7,34.4,8.2,6.5,6.5,91.9,12.6,1.0,0.14,0.08,0.057,0.055,0.50,<0.000001,<0.001000,0.001970,0.004780,<0.0002,<0.0003
桃園沿海海域,海湖電廠,乙,2006/8/8 上午 08:10:00,5137,1.0,29.6,30.0,33.5,8.3,7.1,7.0,111.1,7.9,6.7,0.03,0.02,0.008,0.007,<0.05,0.000023,0.001000,0.000937,0.002630,<0.0002,<0.0003
桃園沿海海域,海湖電廠,乙,2006/5/5 上午 08:00:00,5137,1.0,25.9,25.4,33.2,8.2,6.1,6.2,91.6,12.5,0.4,0.37,0.23,0.098,0.026,0.69,0.000019,<0.0010,0.0010,0.0048,0.000379,<0.0003
桃園沿海海域,新南崁溪口,乙,2006/11/9 上午 08:16:00,5138,1.0,27.1,23.8,34.4,8.2,6.5,6.4,91.4,27.6,0.8,0.13,0.09,0.069,0.054,0.54,<0.000001,<0.001000,0.001310,0.005580,<0.0002,<0.0003
桃園沿海海域,新南崁溪口,乙,2006/8/8 上午 08:30:00,5138,1.0,28.7,30.1,33.8,8.2,6.8,6.9,110.4,9.2,5.9,0.04,0.02,0.007,0.008,<0.05,0.000024,<0.001000,0.000922,0.000860,0.000552,<0.0003
桃園沿海海域,新南崁溪口,乙,2006/5/5 上午 08:15:00,5138,1.0,26.0,25.3,21.4,8.0,5.5,5.5,65.2,16.8,0.4,2.26,0.74,0.372,0.179,4.48,0.000030,<0.0010,0.0010,0.0011,<0.0002,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2006/11/9 上午 08:40:00,5139,1.0,26.6,24.1,34.8,8.2,6.6,6.5,93.2,11.6,0.6,0.04,0.08,0.042,0.033,0.35,<0.000001,0.001270,0.001490,0.005410,0.000259,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2006/8/8 上午 08:45:00,5139,1.0,28.9,29.8,33.9,8.3,6.5,6.5,103.3,7.1,2.4,0.05,0.03,0.005,0.006,0.06,0.000017,<0.001000,0.001380,0.004560,<0.0002,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2006/5/5 上午 08:30:00,5139,1.0,27.6,26.6,34.0,8.2,6.4,6.5,98.8,3.4,0.9,0.03,0.03,0.018,0.001,0.21,0.000011,<0.0010,0.0009,0.0025,<0.0002,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2006/11/9 上午 09:00:00,5140,1.0,26.5,24.1,34.7,8.2,6.6,6.6,94.0,10.1,0.6,<0.02,0.08,0.039,0.032,0.32,<0.000001,0.001140,0.001220,0.004400,<0.0002,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2006/8/8 上午 09:00:00,5140,1.0,29.4,29.6,34.0,8.2,6.4,6.5,103.0,8.6,2.6,0.05,0.03,0.007,0.007,0.06,0.000024,<0.001000,0.001100,0.004060,<0.0002,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2006/5/5 上午 08:40:00,5140,1.0,27.4,26.3,34.1,8.3,6.2,6.5,98.2,3.7,0.7,0.06,0.03,0.021,0.006,0.23,0.000012,<0.0010,0.0009,0.0032,<0.0002,<0.0003
桃園沿海海域,觀音溪口,乙,2006/11/9 上午 10:00:00,5141,1.0,28.1,24.6,34.4,8.1,6.6,6.4,93.2,6.1,0.4,0.08,0.21,0.066,0.019,0.50,0.000055,0.001370,0.001720,0.012500,<0.0002,<0.0003
桃園沿海海域,觀音溪口,乙,2006/8/8 上午 09:52:00,5141,1.0,32.3,29.7,33.6,8.0,6.1,6.3,99.7,3.5,1.5,0.03,0.02,0.020,0.004,0.11,0.000023,0.001140,0.002070,0.005030,<0.0002,<0.0003
桃園沿海海域,觀音溪口,乙,2006/5/5 上午 09:40:00,5141,1.0,28.3,26.4,33.8,8.2,6.2,6.3,94.7,8.6,0.5,0.07,0.05,0.044,0.006,0.30,0.000013,<0.0010,0.0010,0.0040,<0.0002,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2006/11/9 下午 12:28:00,5142,1.0,28.1,25.1,34.9,8.2,6.8,6.7,97.1,6.1,0.8,0.03,0.05,0.039,0.021,0.27,<0.000001,0.001230,0.000421,0.006640,<0.0002,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2006/8/8 下午 12:21:00,5142,1.0,29.1,30.1,33.7,8.2,6.6,6.6,104.0,4.5,2.9,<0.02,<0.01,0.006,0.001,0.08,0.000013,0.001030,0.000299,0.003330,0.000208,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2006/5/5 下午 12:00:00,5142,1.0,31.6,27.1,29.9,8.3,6.9,6.8,101.0,17.3,1.6,0.08,0.13,0.056,0.008,1.63,0.000013,<0.0010,0.0004,0.0027,<0.0002,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2006/11/9 下午 12:03:00,5143,1.0,28.1,24.7,34.9,8.2,6.8,6.6,95.8,5.4,0.9,0.02,0.05,0.048,0.022,0.27,<0.000001,0.001240,0.000345,0.002170,0.000225,<0.0003
