TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,101779,101779,1,Penghu County Wang-an Island Green Turtle Nesting Refuge,澎湖縣望安島綠?龜?卵棲地保護區,野生動物保護區,Wildlife Refuge,National,IV,Not Applicable,1,0,3.0586007967104,7.543363,7.57532768826485,Not Reported,0,Designated,1995,Federal or national ministry or agency,Not Reported,Forestry Bureau,http://conservation.forest.gov.tw/public/Attachment/52511452671.pdf,State Verified,1877,CN-71,TWN,TWN
Polygon,19573,19573,1,Nan-ao Broad-leaved Forest,南澳闊葉樹林自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,1.842423,1.85072032995821,Not Applicable,0,Designated,1992,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17752,17752,1,Taitung Hongye Village Taitung Cycas,台東紅葉村台東蘇鐵自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,3.170067,3.18561953037251,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17751,17751,1,Dawu Working Circle Taiwan Amentotaxus,大武事業區台灣穗花杉自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.843523,0.847711355122994,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17749,17749,1,Hapen,哈盆自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,3.198846,3.21321105354469,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,33634,33634,1,Chatianshan,插天山自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,79.739676,80.100726585261,Not Applicable,0,Designated,1992,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,17750,17750,1,Miaoli Sanyi Huoyanshan,苗栗三義火炎山自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,2.20008,2.21026217001979,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594033,555594033,1,Jiujiu Peaks,九九峰自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,12.059818,12.1164609880307,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,101767,101767,1,Kenting Uplifted Coral Reefs,墾丁高位珊瑚礁自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,1,0,0,1.328641,1.33534617765485,Not Reported,0,Designated,1994,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
Polygon,555594032,555594032,1,Hokutolite,北投石自然保留區,自然保留區,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.002036,0.00204516820213499,Not Applicable,0,Designated,2013,Federal or national ministry or agency,Not Reported,Forestry Bureau,Not Reported,State Verified,1877,CN-71,TWN,TWN
