採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場中,乙,2002/8/12 下午 01:22:00,6022,20.9,8,1.6,--,--,--,0.06,0.003,33,0.33,--,--,0.014,<10,10
新金山海水浴場,新金山海水浴場左,乙,2002/8/12 下午 01:10:00,6021,20.9,7.9,1.9,--,--,--,0.05,0.003,33.1,0.31,--,--,0.018,5,<10
崎頂海水浴場,崎頂海水浴場右,乙,2002/8/12 下午 12:30:00,6033,29.6,8,30,--,--,--,0.13,0.012,33.5,0.639,--,--,0.015,<10,75
崎頂海水浴場,崎頂海水浴場中,乙,2002/8/12 下午 12:20:00,6032,29.5,8,26,--,--,--,0.12,0.014,33.4,0.605,--,--,0.009,15,31
崎頂海水浴場,崎頂海水浴場左,乙,2002/8/12 下午 12:10:00,6031,29.6,8,26,--,--,--,0.12,0.017,33.6,0.67,--,--,0.012,10,20
福隆海水浴場,福隆海水浴場右,乙,2002/8/12 上午 10:50:00,6013,21.3,7.9,3.4,--,--,--,<0.05,0.005,25.8,1.47,--,--,<0.008,290,10
通霄海水浴場,通霄海水浴場右,乙,2002/8/12 上午 10:42:00,6043,29.3,8,7.8,--,--,--,0.09,0.0052,33.4,0.739,--,--,0.008,140,75
福隆海水浴場,福隆海水浴場中,乙,2002/8/12 上午 10:38:00,6012,21.3,7.9,3,--,--,--,<0.05,0.006,25.9,1.44,--,--,0.008,2800,10
福隆海水浴場,福隆海水浴場左,乙,2002/8/12 上午 10:30:00,6011,21.3,7.9,3.2,--,--,--,<0.05,0.005,25.8,1.4,--,--,<0.008,3000,<10
通霄海水浴場,通霄海水浴場中,乙,2002/8/12 上午 10:30:00,6042,29.2,8,11,--,--,--,0.08,0.004,33.4,0.424,--,--,<0.008,100,53
通霄海水浴場,通霄海水浴場左,乙,2002/8/12 上午 10:20:00,6041,29.1,8,11,--,--,--,0.07,0.013,33.5,0.476,--,--,0.008,330,42
旗津海水浴場,旗津海水浴場右,乙,2002/8/12 上午 09:08:00,6083,29.4,8.2,6.7,--,--,--,<0.05,0.005,31.6,0.48,--,--,<0.008,15,10
旗津海水浴場,旗津海水浴場中,乙,2002/8/12 上午 08:59:00,6082,29.4,8.2,6,--,--,--,<0.05,0.004,31.6,0.53,--,--,<0.008,32,10
大安海水浴場,大安海水浴場右,乙,2002/8/12 上午 08:50:00,6053,25.7,8,12,--,--,--,0.18,0.027,33.3,0.906,--,--,<0.008,1200,64
旗津海水浴場,旗津海水浴場左,乙,2002/8/12 上午 08:50:00,6081,29.4,8.19,5.4,--,--,--,<0.05,0.005,31.6,0.43,--,--,<0.008,20,<10
大安海水浴場,大安海水浴場中,乙,2002/8/12 上午 08:35:00,6052,25.6,8,25,--,--,--,0.18,0.023,33.5,1.07,--,--,<0.008,1400,87
大安海水浴場,大安海水浴場左,乙,2002/8/12 上午 08:20:00,6051,25.6,8,50,--,--,--,0.2,0.018,33.4,0.667,--,--,0.008,1200,87
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/8/12 上午 08:20:00,6073,28.8,8.2,25,--,--,--,<0.05,0.006,31.4,0.53,--,--,0.018,720,31
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/8/12 上午 08:00:00,6072,28.8,8.2,28,--,--,--,<0.05,0.008,31.4,0.53,--,--,0.013,850,10
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/8/12 上午 07:45:00,6071,28.8,8.18,26,--,--,--,<0.05,0.007,31.4,0.48,--,--,0.016,920,<10
